VIOLATOR_TYPE_CD,MINE_TYPE,COAL_METAL_IND,SIG_SUB,LIKELIHOOD,INJ_ILLNESS,NO_AFFECTED,NEGLIGENCE,SPECIAL_ASSESS,PRIMARY_OR_MILL,ASMT_GENERATED_IND,CONTESTED_IND,VIOLATOR_VIOLATION_CNT,VIOLATOR_INSPECTION_DAY_CNT,ACTIVITY,ACTIVE_SECTIONS,IDLE_SECTIONS,SHAFT_SLOPE_SINK,IMPOUND_CONSTR,BLDG_CONSTR_SITES,DRAGLINES,UNCLASSIFIED_CONSTR,CO_RECORDS,SURF_UG_MINE,SURF_FACILITY_MINE,REFUSE_PILES,EXPLOSIVE_STORAGE,OUTBY_AREAS,MAJOR_CONSTR,SHAFTS_SLOPES,IMPOUNDMENTS,MISC_AREA,PROGRAM_AREA,SAMPLE_CNT_AIR,SAMPLE_CNT_DUSTSPOT,SAMPLE_CNT_DUSTSURVEY,SAMPLE_CNT_RESPDUST,SAMPLE_CNT_NOISE,SAMPLE_CNT_OTHER,NBR_INSPECTORS,TOTAL_ON_SITE_HOURS,TOTAL_INSP_HOURS,COAL_METAL_IND,TOTAL_ON_SITE_HRS_SPVR_TRAINEE,TOTAL_INSP_HRS_SPVR_TRAINEE,PRIMARY_SIC,PRIMARY_CANVASS,PORTABLE_OPERATION,PORTABLE_FIPS_ST_CD,DAYS_PER_WEEK,HOURS_PER_SHIFT,PROD_SHIFTS_PER_DAY,MAINT_SHIFTS_PER_DAY,NO_EMPLOYEES,PART48_TRAINING,AVG_MINE_HEIGHT,PILLAR_RECOVERY_USED,HIGHWALL_MINER_USED,MULTIPLE_PITS
Operator,Surface,M,N,Unlikely,Fatal,1,ModNegligence,N,Primary,N,N,0,2,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,10,6,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,Y,Reasonably,Permanent,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,2,35,19,M,0,0,"Crushed, Broken Stone NEC",Stone,N,,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,Y,Reasonably,Fatal,1,ModNegligence,N,Primary,N,N,0,0,"MISCELLANEOUS INSPECTION/INVESTIGATION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--MISCELLANEOUS INSPECTION/INVESTIGATION",0,0,0,0,0,0,2,47,28,M,0,0,"Crushed, Broken Stone NEC",Stone,N,,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Fatal,1,ModNegligence,N,Primary,N,N,24,24,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,62,42,M,0,0,"Crushed, Broken Limestone NEC",Stone,N,,5,12,2,0,36,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,LostDays,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,34,22,M,0,0,"Crushed, Broken Limestone NEC",Stone,N,,5,12,2,0,36,Y,0,N,N,N
Contractor,Surface,M,Y,Reasonably,LostDays,3,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,25,14,M,0,0,"Crushed, Broken Limestone NEC",Stone,N,,5,12,2,0,36,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Permanent,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,7,5,M,0,0,"Crushed, Broken Limestone NEC",Stone,N,,5,12,2,0,36,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Permanent,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,35,27,M,0,0,"Crushed, Broken Limestone NEC",Stone,N,,5,12,2,0,36,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,LostDays,31,ModNegligence,N,Primary,N,N,20,16,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,34,25,M,0,0,"Crushed, Broken Limestone NEC",Stone,N,,5,12,2,0,36,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Permanent,1,ModNegligence,N,Primary,N,N,15,16,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,28,20,M,0,0,"Crushed, Broken Limestone NEC",Stone,N,,5,12,2,0,36,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,NoLostDays,0,HighNegligence,N,Primary,N,N,15,18,"MISCELLANEOUS INSPECTION/INVESTIGATION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--MISCELLANEOUS INSPECTION/INVESTIGATION",0,0,0,0,0,0,1,4,0,M,0,0,"Crushed, Broken Limestone NEC",Stone,N,,5,12,2,0,36,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Permanent,1,ModNegligence,N,Primary,N,N,16,26,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,29,21,M,0,0,"Crushed, Broken Limestone NEC",Stone,N,,5,12,2,0,36,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Permanent,4,HighNegligence,N,Primary,N,N,14,11,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,64,41,M,0,0,"Crushed, Broken Limestone NEC",Stone,N,,5,12,2,0,36,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Permanent,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,12,8,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,35,5,10,1,1,6,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,LostDays,1,ModNegligence,N,Primary,N,N,0,0,"COMPLIANCE FOLLOW-UP INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--COMPLIANCE FOLLOW-UP INSPECTION",0,0,0,0,0,0,1,3,1,M,0,0,"Crushed, Broken Granite",Stone,Y,08,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,LostDays,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,8,4,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,5,8,1,0,9,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Permanent,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,2,41,28,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,38,0,0,0,0,0,Y,0,N,N,N
Operator,Underground,M,N,Unlikely,LostDays,1,LowNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,34,15,M,0,0,Gemstones,Nonmetal,N,,0,0,0,0,0,N,0,N,N,N
Operator,Surface,M,N,Unlikely,Fatal,1,ModNegligence,N,Primary,N,Y,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,7,5,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,30,5,10,1,0,2,Y,0,N,N,N
Operator,Surface,M,N,NoLikelihood,NoLostDays,0,ModNegligence,N,Primary,N,N,0,0,"ATTEMPTED INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--ATTEMPTED INSPECTION",0,0,0,0,0,0,1,4,2,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,49,5,8,1,0,2,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Fatal,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,2,25,19,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,49,5,8,1,0,4,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,LostDays,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,40,24,M,0,0,"Crushed, Broken Stone NEC",Stone,Y,08,6,12,1,0,12,Y,0,N,N,N
Operator,Surface,M,Y,Reasonably,Fatal,1,ModNegligence,N,Primary,N,Y,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,22,16,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,08,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Permanent,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,2,30,24,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,38,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,NoLostDays,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,31,20,M,0,0,"Crushed, Broken Stone NEC",Stone,N,,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,N,NoLikelihood,NoLostDays,0,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,2,26,8,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,08,5,8,1,0,4,Y,0,N,N,N
Operator,Surface,M,Y,Reasonably,Permanent,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,10,8,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,32,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,LostDays,1,LowNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,20,8,M,0,0,"Crushed, Broken Stone NEC",Stone,Y,53,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,Y,Reasonably,Fatal,1,ModNegligence,N,Primary,N,Y,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,12,8,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,5,10,1,1,7,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,LostDays,1,LowNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,8,4,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,32,0,0,0,0,0,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Permanent,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,25,19,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,08,5,8,1,0,4,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,NoLostDays,1,ModNegligence,N,Primary,N,N,0,0,"MISCELLANEOUS INSPECTION/INVESTIGATION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--MISCELLANEOUS INSPECTION/INVESTIGATION",0,0,0,0,0,0,1,7,4,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,08,5,8,1,0,4,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,LostDays,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,28,19,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,08,0,0,0,0,0,Y,0,N,N,N
Contractor,Surface,M,N,Unlikely,Permanent,1,LowNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,18,14,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,08,5,8,1,0,5,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Fatal,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,2,17,11,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,35,5,10,1,1,6,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Fatal,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,2,34,30,M,0,0,"Construction Sand and Gravel",SandAndGravel,Y,49,5,8,1,0,8,Y,0,N,N,N
Operator,Surface,M,N,Unlikely,Fatal,1,ModNegligence,N,Primary,N,N,0,0,"REGULAR INSPECTION",0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,"M/NM--REGULAR INSPECTION",0,0,0,0,0,0,1,14,9,M,0,0,"Construction Sand and Gravel",SandAndGravel,N,,5,8,1,0,8,Y,0,N,N,N
