CURRENT_MINE_NAME,CURRENT_MINE_STATUS,CURRENT_CONTROLLER_NAME,CURRENT_OPERATOR_NAME,PRIMARY_SIC,latitude,longitude
No 1,Abandoned and Sealed,Lombardo Sonny & Komas D Bryant,Sonnyco Coal Company,Coal (Bituminous),37.5061,-82.4372
NO. 3,Abandoned,Richard L  Thacker,"Coal Operator 1, LLC",Coal (Bituminous),37.348611,-82.436944
Hall Branch 1,Abandoned and Sealed,Koch Industries Inc,Koch Carbon Inc,Coal (Bituminous),37.6856,-82.4369
Benedict Inc,Abandoned,Engle W E,Benedict Inc,Coal (Bituminous),39.3269,-82.4367
No 27 Mine,Abandoned and Sealed,Coleman Elmer,Jackson Branch Coal Company,Coal (Bituminous),37.2947,-82.4367
Flemingtown Reclamation,Abandoned,El Paso Energy Corp,Virginia Iron Coal & Coke Company,Coal (Bituminous),37.1722,-82.4367
No 1 Strip,Abandoned,Wesley D.  Burke,Dkd Contractors Inc,Coal (Bituminous),37.1722,-82.4367
Mine #1,Abandoned and Sealed,Smallwood Rodney,Top Fuel Coal Inc,Coal (Bituminous),37.4847,-82.4364
Lominco Pit #005,Abandoned,Collins Gregory Kent,Eagle Stone Inc,Coal (Bituminous),36.4167,-82.4361
No 3,Abandoned,Hobart  Anderson,Anderson Brothers Llc,Coal (Bituminous),37.5597,-82.4358
Sands Hill Strip #2,Active,Rhino Resource Partners LP,Sands Hill Mining LLC,Coal (Bituminous),39.115278,-82.435556
Rc-1,Abandoned and Sealed,United  Company,Wellmore Coal Corp,Coal (Bituminous),37.4953,-82.4353
CCI Slones Branch Terminal LLC,Active,Castleton Commodities International LLC,CCI Slones Branch Terminal LLC,Coal (Bituminous),37.409167,-82.435278
No 1 Surface,Abandoned,Randy  Gilkerson,B & G Mining Inc,Coal (Bituminous),37.5756,-82.435
Auger Mine #27,Abandoned,G B  Hendrickson,B & H Coal Company Inc,Coal (Bituminous),37.575556,-82.435
No. 13,Abandoned,Vicki  Salyer,"Labco, LLC",Coal (Bituminous),37.575555,-82.435
Deep Mine #27,Abandoned,"Alpha Natural Resources, Inc.","Paramont Coal Company Virginia, LLC",Coal (Bituminous),37.034444,-82.435
Wolf Branch,Abandoned,Horizon Natural Resources Incorporated,Addington Mining Inc,Coal (Bituminous),37.6217,-82.4347
No 10,Abandoned and Sealed,Harold E  Akers; Jim D  Akers,A A & W Coals Inc,Coal (Bituminous),37.5914,-82.4347
No 1,Abandoned and Sealed,Street Clifton,Street Contracting Inc,Coal (Bituminous),37.5528,-82.4347
No 3,Abandoned and Sealed,Coleman Carl L & James S Damron,C & D Coal Company,Coal (Bituminous),37.2625,-82.4347
No 4,Abandoned and Sealed,Coleman Carl L & James S Damron,C & D Coal Company,Coal (Bituminous),37.2592,-82.4347
#1 Tipple,Abandoned,Joe Douglas  Kilgore,Midnight Processing Inc,Coal (Bituminous),36.4528,-82.4347
Bent Mtn,Active,James C  Justice II,Kentucky Fuel Corporation,Coal (Bituminous),37.588889,-82.434444
Salem #2,Active,James C  Justice II,Kentucky Fuel Corporation,Coal (Bituminous),37.588889,-82.434444
Salem #3,NonProducing,James C  Justice II,KENTUCKY FUEL CORPORATION,Coal (Bituminous),37.588889,-82.434444
James R Eberts Coal,Abandoned,Eberts James R,Eberts Coal Company Inc,Coal (Bituminous),39.2031,-82.4344
Smith Fork Mine No 1,Abandoned and Sealed,James River Coal Company,Mc Coy Elkhorn Coal Corp,Coal (Bituminous),37.5767,-82.4342
Sookeys Creek,Abandoned and Sealed,Randy L  Tackett,Pace Energies Inc,Coal (Bituminous),37.5594,-82.4342
VULCAN FAB SHOP,Active,Vulcan Materials Company,"Vulcan Construction Materials, L.P.","Crushed, Broken Granite",34.770833,-82.433611
No 2 Mine,Abandoned and Sealed,Transcontinental Energy Corp,Diamond Coal Company Inc,Coal (Bituminous),36.6269,-82.4336
Lawson & Lawson,Abandoned,Lawson Mike,Lawson & Lawson Inc,Coal (Bituminous),39.433333,-82.433333
Big Branch,Abandoned,Edsel H  Preece,"Twin Ridge Development, Inc.",Coal (Bituminous),37.031666,-82.433333
Big Branch #1,Abandoned,Robert L  Clear,Robert Clear Coal Corporation,Coal (Bituminous),37.031666,-82.433333
Wrens Calcine,Abandoned,IMin Partners,KaMin LLC,Common Clays NEC,33.257777,-82.433333
No 1 Mine,Abandoned and Sealed,Grethel Mining Company Inc,Grethel Mining Company Inc,Coal (Bituminous),37.6958,-82.4333
