MINE_ID,CURRENT_MINE_NAME,CURRENT_MINE_TYPE,CURRENT_CONTROLLER_NAME,CURRENT_OPERATOR_ID,CURRENT_OPERATOR_NAME,STATE,PRIMARY_SIC,DAYS_PER_WEEK,HOURS_PER_SHIFT,PROD_SHIFTS_PER_DAY,MAINT_SHIFTS_PER_DAY,NO_EMPLOYEES,PART48_TRAINING,longitude_FALSE,latitude,AVG_MINE_HEIGHT,MINE_GAS_CATEGORY_CD,METHANE_LIBERATION,NO_PRODUCING_PITS,NO_NONPRODUCING_PITS,NO_TAILING_PONDS,PILLAR_RECOVERY_USED,HIGHWALL_MINER_USED,MULTIPLE_PITS,MINERS_REP_IND,SAFETY_COMMITTEE_IND,NEAREST_TOWN,longitude
5001031,Maine Monroeville,Surface,Nome Gold Company,125073,Nome Gold Alaska Corporation,AK,Gold Ore,7,12,2,0,25,N,165.408611,64.541389,,,,,,0,N,N,N,N,N,Nome,-165.408611
5001545,Red Dog,Surface,Teck Resources Limited,L10019,Teck Alaska Inc,AK,Lead-Zinc Ore,7,12,2,1,340,N,162.433889,68.046111,,,,,,1,N,N,N,N,N,Kotzebue,-162.433889
5100190,Kauai Aggregates,Surface,O Thronas Incorporated; Priscilla K  Thronas,95346,Kauai Aggregates,HI,"Crushed, Broken Stone NEC",5,12,1,0,8,Y,159.546432,21.911457,,,,,,0,N,N,N,N,N,Lihue,-159.546432
5100011,Bluestone Quarry & Mill,Surface,James W Glover Holding Company Ltd,L34773,Jas W Glover Ltd,HI,"Crushed, Broken Traprock",5,8,2,0,13,Y,159.397117,21.966301,,,,,,0,N,N,N,N,N,Lihue,-159.397117
5100224,Portable Plant,Surface,Lawrence E  Wilderman,51342,Pacific Aggregate,HI,Construction Sand and Gravel,5,8,1,0,2,Y,158.155025,21.415692,,,,,,0,N,N,N,N,N,waianae,-158.155025
5100173,Makakilo Quarry,Surface,Alexander & Baldwin Incorporated,L07273,Grace Pacific LLC,HI,Dimension Stone NEC,5,9,1,0,38,Y,158.064909,21.351936,,,,,,0,N,N,N,N,N,kAPOLEI,-158.064909
5100036,Halawa Valley,Surface,MDU Resources Group Inc,L08811,Hawaiian Cement,HI,"Crushed, Broken Stone NEC",6,10,1,0,54,Y,157.9125,21.371944,,,,,,0,N,N,N,N,N,AIEA,-157.9125
5100019,Kapaa Quarry And Mill,Surface,Pohaku Paa LLC,134414,Ameron Hawaii LLC,HI,"Crushed, Broken Traprock",6,9,2,0,70,Y,157.769444,21.378055,,,,,,0,N,N,N,N,N,HONOLULU,-157.769444
5100171,Waikapu Quarry,Surface,MDU Resources Group Inc,L08811,Hawaiian Cement,HI,"Crushed, Broken Stone NEC",5,9,1,0,5,Y,156.504856,20.880871,,,,,,0,N,N,N,N,N,Wailuku,-156.504856
5100192,Puunene Quarry,Surface,MDU Resources Group Inc,L08811,Hawaiian Cement,HI,"Crushed, Broken Stone NEC",5,8,1,0,7,Y,156.461111,20.851804,,,,,,0,N,N,N,N,N,Kahului,-156.461111
5100004,Puunene Camp 10 Quarry,Surface,Pohaku Paa LLC,134414,Ameron Hawaii LLC,HI,"Crushed, Broken Traprock",5,8,1,0,20,Y,156.4531,20.8638,,,,,,0,N,N,N,N,N,Puuene,-156.4531
5100302,Arrow Hawaiian dba.,Surface,Joseph  Chamberlain,106145,Arrow of Oregon/Hawaii LLC,HI,Construction Sand and Gravel,4,10,1,0,3,Y,155.72929,19.133283,,,,,,0,N,N,N,N,N,Ocean View,-155.72929
5100225,Puuheihei Cinder Quarry,Surface,Edwin  DeLuz,L32961,Edwin Deluz Trucking & Gravel LLC,HI,"Crushed, Broken Stone NEC",5,10,1,0,6,Y,155.665857,19.898682,,,,,,0,N,N,N,N,N,Kamuela,-155.665857
5100199,Edwin DeLuz Trucking & Gravel LLC,Surface,Edwin  DeLuz,L32961,Edwin DeLuz Trucking & Gravel LLC,HI,"Crushed, Broken Stone NEC",2,10,1,0,4,Y,155.565555,20.028055,,,,,,0,N,N,N,N,N,Waimea,-155.565555
5100046,"Yamada And Sons, Inc.",Surface,Donald  Yamada,L01426,"Yamada and Sons, Inc.",HI,"Crushed, Broken Stone NEC",6,8,1,0,10,Y,155.063548,19.708683,,,,,,0,N,N,N,N,N,Hilo,-155.063548
5100008,Hilo Crusher,Surface,James W Glover Holding Company Ltd,L34773,James W Glover Ltd,HI,"Crushed, Broken Traprock",5,8,1,0,11,Y,155.057179,19.708174,,,,,,0,N,N,N,N,N,hILO,-155.057179
5100165,Keaau Quarry,Surface,Russell  Kuwaye,L15677,Puna Rock Company Ltd,HI,"Crushed, Broken Stone NEC",5,8,1,0,4,Y,155.021388,19.626944,,,,,,0,N,N,N,N,N,Keaau,-155.021388
