CURRENT_MINE_NAME,CURRENT_CONTROLLER_NAME,CURRENT_OPERATOR_NAME,latitude,longitude
Maine Monroeville,Nome Gold Company,Nome Gold Alaska Corporation,64.541389,-165.408611
Red Dog,Teck Resources Limited,Teck Alaska Inc,68.046111,-162.433889
Kauai Aggregates,O Thronas Incorporated; Priscilla K  Thronas,Kauai Aggregates,21.911457,-159.546432
Bluestone Quarry & Mill,James W Glover Holding Company Ltd,Jas W Glover Ltd,21.966301,-159.397117
Portable Plant,Lawrence E  Wilderman,Pacific Aggregate,21.415692,-158.155025
Makakilo Quarry,Alexander & Baldwin Incorporated,Grace Pacific LLC,21.351936,-158.064909
Halawa Valley,MDU Resources Group Inc,Hawaiian Cement,21.371944,-157.9125
Kapaa Quarry And Mill,Pohaku Paa LLC,Ameron Hawaii LLC,21.378055,-157.769444
Waikapu Quarry,MDU Resources Group Inc,Hawaiian Cement,20.880871,-156.504856
Puunene Quarry,MDU Resources Group Inc,Hawaiian Cement,20.851804,-156.461111
Puunene Camp 10 Quarry,Pohaku Paa LLC,Ameron Hawaii LLC,20.8638,-156.4531
Arrow Hawaiian dba.,Joseph  Chamberlain,Arrow of Oregon/Hawaii LLC,19.133283,-155.72929
Puuheihei Cinder Quarry,Edwin  DeLuz,Edwin Deluz Trucking & Gravel LLC,19.898682,-155.665857
Edwin DeLuz Trucking & Gravel LLC,Edwin  DeLuz,Edwin DeLuz Trucking & Gravel LLC,20.028055,-155.565555
"Yamada And Sons, Inc.",Donald  Yamada,"Yamada and Sons, Inc.",19.708683,-155.063548
Hilo Crusher,James W Glover Holding Company Ltd,James W Glover Ltd,19.708174,-155.057179
Keaau Quarry,Russell  Kuwaye,Puna Rock Company Ltd,19.626944,-155.021388
Sanford's Service Center Incorporated,Sanford  Iwata,Sanford's Service Center Inc,19.506944,-154.958889
Usibelli,Joseph E  Usibelli,Usibelli Coal Mine Inc,63.856944,-148.966111
Northland Coal Screening Plant,Mark W  Sanford,Northland Fuels and Energy,63.856944,-148.966111
Scabtron,Mark E  Miell,Scabtron,65.076667,-147.549722
Fort Knox Mine,Kinross Gold Corp,Fairbanks Gold Mining Inc,65.072777,-146.521944
Pogo Mine,Sumitomo Metal Mining Co Ltd,Sumitomo Metal Mining Pogo LLC,64.259722,-146.111111
Kensington,"Coeur Mining, Inc.",Coeur Alaska Inc,58.799444,-135.017222
Hecla Greens Creek Mine,Hecla Mining Company,Hecla Greens Creek Mining Company,58.1175,-134.745833
Kincheloe Quarry,Wesley J  Kincheloe,Kincheloe & Sons Inc,43.105556,-124.161389
ALTON PIT & MILL,Robert C  McLaughlin; Michael J  McLaughlin,Eureka Sand & Gravel Co Inc,40.548611,-124.149444
ERM Rock,Robert C  McLaughlin; Michael J  McLaughlin,Eureka Ready Mix Concrete Co Inc,40.513888,-124.128055
Portable Crusher,Ronald D  Braxling,Braxling & Braxling Inc,44.648055,-124.0475
Cedar Creek Quarries Inc-Fischer Pit,Robert G  Wienert,Cedar Creek Quarries Inc,44.637222,-124.042777
Cedar Creek Quarries Inc-Cedar Creek Pit,Robert G  Wienert,Cedar Creek Quarries Inc,44.637222,-124.042777
Cedar Creek Quarries Inc - Panky Pit,Robert G  Wienert,"Cedar Creek Quarries, Inc",44.637222,-124.042777
CHRISTIE BAR,Robert C  McLaughlin; Michael J  McLaughlin,Eureka Sand & Gravel Co. Inc.,40.888504,-123.997872
Eagle Portable Crusher,Shawn  Teevin; Tom  Fischer,Teevin & Fischer Quarry LLC,46.058888,-123.915277
Portable Crusher,Jesse  Kollman,Arris Kollman Trucking Inc,46.969444,-123.844444
Heinz pit,(Andrew) Martin  Nygaard,"Warrenton Fiber Company, Inc.",46.169444,-123.811666
