CURRENT_MINE_NAME,long_false,latitude,longitude
ZUPKE DREDGE & PLANT,93.097777,41.878055,-93.097777
ZUPKE CRUSHER #1,93.097777,41.878055,-93.097777
Zumbro Falls Plant,92.525195,44.038659,-92.525195
Zircon Crushing Spread,111.9775,33.426944,-111.9775
Zimmerman Newcomer Gravel,85.810833,41.399722,-85.810833
ZIMMERMAN MINE,76.641388,39.045833,-76.641388
Zerbe 10 Mine,76.649444,40.769444,-76.649444
"Zeitz Farms, Inc.",84.234816,42.424776,-84.234816
Zaluzny Excavating Corp,72.556666,42.831388,-72.556666
Yule Quarry ,107.197222,39.070556,-107.197222
Young's Sand & Gravel Inc.,81.730744,40.543916,-81.730744
Youngs Farm Aggregate Plant #26,77.141114,42.078586,-77.141114
Youngquist Brothers Rock Inc.,81.709603,26.474506,-81.709603
Young-Blood Stone Company LLC,98.778056,31.473056,-98.778056
Young Sand Mine,98.002778,35.866111,-98.002778
Young Mine ,83.615833,36.076944,-83.615833
Young Mill ,81.330411,36.899002,-81.330411
Young- Marlin Pit,97.167222,31.039722,-97.167222
Yosemite Slate Quarry ,120.020833,37.483611,-120.020833
Yorktown Operation East,75.925,40.95,-75.925
York Quarries ,76.704166,39.956666,-76.704166
York Plant ,76.808611,39.934166,-76.808611
York Plant,76.808616,39.934228,-76.808616
York Hill Mine & Mill,72.751111,41.558611,-72.751111
York & Sons Quarries,85.018611,35.843333,-85.018611
Yole Pit,73.615833,43.398611,-73.615833
Yeshic Mine,86.908055,33.197222,-86.908055
Yerington Readymix Plant,119.144444,38.925,-119.144444
Yenzi Strip #3 Mine,78.891667,41.058333,-78.891667
Yellowtail Mine,108.29,44.961388,-108.29
Yellowstone Mine ,111.609444,44.972222,-111.609444
Yellowbush Mine,84.110556,31.083056,-84.110556
Yellow Mtn Surface Mine,82.930833,37.426667,-82.930833
Yellow Medicine,95.5575,44.813611,-95.5575
Yellow Creek Gravel Services,85.944444,41.560555,-85.944444
Yellow Buck Matterhorn & Buckskin,112.482222,35.224166,-112.482222
Yeary Trucking Sand & Gravel,93.034344,36.741449,-93.034344
Yavapai Plant #22,112.414444,34.643055,-112.414444
Yavapai Apache Sand & Rock,111.917871,34.620553,-111.917871
YARRINGTON ROAD MATERIALS,97.865,29.929166,-97.865
Yard 99 - Ashkum,88.0925,40.901388,-88.0925
Yard 95-Manteno,87.877222,41.240277,-87.877222
Yard 90-Marengo,88.610555,42.238611,-88.610555
Yard 88 - Pontiac,88.633055,40.800555,-88.633055
Yard 78 - Bloomfield,86.937507,39.02699,-86.937507
Yard 72 - Waverly,86.273333,39.567777,-86.273333
Yard 57 - Paxton,88.024444,40.400555,-88.024444
Yard  Two,71.807444,41.387252,-71.807444
"Yamada And Sons, Inc.",155.063548,19.708683,-155.063548
Y pit Whitshed,145.8156,60.516981,-145.8156
X-Rock ,122.675278,44.789722,-122.675278
Xenia Sand & Gravel,83.984444,39.700278,-83.984444
X L Sand and Gravel Co Inc,80.538611,40.766111,-80.538611
Wythe Stone Company,81.040848,36.934978,-81.040848
Wythe Sand Co,80.969722,36.915,-80.969722
Wyszkowski Quarry,76.263888,41.648055,-76.263888
Wysox S & G Inc.,76.378319,41.798946,-76.378319
Wysong Stone Co.,84.538611,39.826389,-84.538611
"WYSONG GRAVEL, CO.",84.653611,39.616944,-84.653611
WYSONG GRAVEL CO.,84.526944,39.773611,-84.526944
Wyoming No 2,81.609722,37.6025,-81.609722
WYOMING LIME PRODUCTS,108.621666,44.976666,-108.621666
Wyoming Facility,116.904722,47.773888,-116.904722
Wyodak Mine,105.6425,44.509167,-105.6425
WYO HEREFORD RANCH PIT,105.781944,39.55,-105.781944
Wynoochee Pit East,123.581944,47.078611,-123.581944
Wynn/Diamond Mine,87.827222,37.395833,-87.827222
Wymps Gap Surface Coal Mine,79.772777,39.151388,-79.772777
Wyco Pit,78.199166,42.625,-78.199166
Wyche Quarry,96.653122,34.5819,-96.653122
Wyants Gravel Pit,77.775,42.366389,-77.775
Wyandotte Dredging,91.203611,30.508333,-91.203611
Wyandot Dolomite - Carey Plant,83.487778,40.905833,-83.487778
"WWW Acres, L.L.C.",91.939166,38.952777,-91.939166
WW 700 ind.rd mine,93.218055,45.202222,-93.218055
WV-3 Surface Mine,81.956389,37.758333,-81.956389
Wulfenstein Pit ,115.923333,36.171944,-115.923333
WTRR Pieper Clay Pit,100.415,32.466944,-100.415
WTRR Light Sand Pit,100.401111,32.213889,-100.401111
Wrights Creek Mine,112.250833,42.191667,-112.250833
Wright City Quarry,91.007222,38.868611,-91.007222
WRIGHT,94.600252,42.124993,-94.600252
WRENTHAM QUARRY,71.358888,42.065277,-71.358888
Wrentham Quarry,71.351761,42.027749,-71.351761
Wrens Plant,82.409696,33.27146,-82.409696
Wrangell Pit,132.386944,56.4875,-132.386944
WR WASH PLANT,107.880556,40.038611,-107.880556
