MineID,MineName,latitude,longitude,TotalExemptions
5001891,Nome Airport Screener,64.512222,-165.445278,100
5001741,Nome Screener,64.540277,-165.403333,972
5001850,Nanuuq Gold Project,64.552222,-165.395278,49885
5001948,Ridge Crusher,64.6225,-164.393333,7000
5001892,Kotzebue Airport Screener,66.890833,-162.604167,100
5001545,Red Dog,68.046111,-162.433889,27165
5001689,Platinum Creek Mine,58.6425,-162.075277,3689
5100190,Kauai Aggregates,21.911457,-159.546432,3133
5100010,Mahaulepu Quarry & Mill,21.906666,-159.469166,1093
5100011,Bluestone Quarry & Mill,21.966301,-159.397117,2128
5100173,Makakilo Quarry,21.351936,-158.064909,5973
5100036,Halawa Valley,21.371944,-157.9125,13800
5100019,Kapaa Quarry And Mill,21.378055,-157.769444,33348
5100192,Puunene Quarry,20.851804,-156.461111,200
5100004,Puunene Camp 10 Quarry,20.8638,-156.4531,5497
5100233,Plant 1 Portable Crusher,19.699388,-156.017846,143
5100234,Plant 2 Portable Crusher,19.699388,-156.017846,6438
5100230,Minya-30x42 Portable,19.7425,-156.01,3000
5100303,POWERSCREEN,19.674257,-156.008894,100
5100276,West Hawaii Landfill,19.861944,-155.826388,100
5100046,"Yamada And Sons, Inc.",19.708683,-155.063548,28306
5100165,Keaau Quarry,19.626944,-155.021388,10000
5100223,Sanford's Service Center Incorporated,19.506944,-154.958889,1300
5001782,Nixon Fork Mine,63.2375,-154.765278,52500
5001578,Portable Crusher,63.588888,-154.493055,6048
5001603,Taiga Mining - Hog River,63.588888,-154.493055,134
5001715,Mobile Crusher #2,57.79,-152.407222,143
5001940,Brown Construction Co Inc,59.756666,-151.782222,988
5001619,ARB Crusher #1,60.5025,-151.071944,8500
5001702,Gerhart Pit,60.5004,-151.066,242
5001853,Ugadaga Quarry,61.19123,-149.934808,5708
5001035,NYAC Mining Co,61.209722,-149.915,100
5001797,Bush Pilot,61.621111,-149.798055,100
5001167,Metco River Bar & Plant,60.140555,-149.420555,180
5000883,Palmer Loading Station ,61.612602,-149.118251,360
5000030,Usibelli,63.856944,-148.966111,86091
5001510,White Creek ,63.391667,-148.950833,293
5001766,Mobile Plant  #3,64.894722,-148.203055,9257
5001862,Dredge,64.812019,-147.793343,12203.1
5001776,JVP,64.826944,-147.790277,100
5001729,Sag Screener,64.826666,-147.778333,200
5001557,Fox Mine,64.948888,-147.6825,313
5001614,Scabtron,65.076667,-147.549722,14571
5001935,Industrial Pit,64.780833,-147.492777,11929
5001905,Elvira Pit,64.771457,-147.367585,3123
5001739,Two Cities Screening Plant,64.769722,-147.334444,100
5001616,Fort Knox Mine,65.072777,-146.521944,85892
5001642,Pogo Mine,64.259722,-146.111111,111831
5001571,Eagle Creek,65.545556,-145.191944,100
5001655,River Plant,59.546667,-135.204722,740
5001544,Kensington,58.799444,-135.017222,55532
5001267,Hecla Greens Creek Mine,58.1175,-134.745833,58009
5001827,Big Rock Trucking,55.421111,-131.769444,362
4503398,Puget Sound Surfacers Inc G6,47.950278,-124.385556,143
3503586,FREEMAN GOLD BEACH WASH PLANT,42.4375,-124.376944,970
3503349,PC-100,42.046388,-124.255,117
3503350,PC-200,42.046388,-124.255,738
3503351,PC 400,42.046388,-124.255,288
3503681,PC-1001,42.046388,-124.255,18733
3501041,FREEMAN PORTABLE CRUSHER,42.069214,-124.25373,689
3503404,Elk River Wash Plant,43.381967,-124.249251,100
3502906,Mobile Crusher #1,43.381944,-124.249166,2025
3503529,LC-300,43.288056,-124.233056,5457
405826,Hole Pit,41.755948,-124.201747,200
3501003,Kincheloe Quarry,43.105556,-124.161389,2049
402714,Humboldt Quarries,40.805278,-124.16,100
3503510,Weekly Pit,43.064722,-124.138889,172599
405488,South Barn Symons,40.483333,-124.102777,200
3500893,COOS COUNTY PORTABLE,43.086135,-124.080447,900
405111,Bess Bar,40.532004,-124.053579,100
405646,Mason Materials,40.9075,-124.045833,648
3502376,Cedar Creek Quarries Inc-Fischer Pit,44.637222,-124.042777,112
3503123,Cedar Creek Quarries Inc-Cedar Creek Pit,44.637222,-124.042777,555
3503353,Cedar Creek Quarries Inc - Panky Pit,44.637222,-124.042777,433
3502441,Portable #1,44.958055,-124.017777,449
3503416,Portable #2,44.958055,-124.017777,6796
3503677,Portable #3,44.958055,-124.017777,68
405648,LT105 Jaw,40.896388,-124.008055,43
401760,CHRISTIE BAR,40.888504,-123.997872,1618
405116,Hatchery Road Crusher,40.867778,-123.995556,50
3503324,SQUARE CREEK QUARRY,45.992777,-123.920833,100
3500518,Wash Plant,45.718888,-123.917777,386
3501133,Crusher Plant,45.718888,-123.917777,197
3503558,Eagle Portable Crusher,46.058888,-123.915277,1796
3503556,600 Line,45.316388,-123.835833,1600
3503729,Kilchis Quarry,45.524722,-123.814444,1819
4500319,Newskah Quarry ,46.898055,-123.809722,116
3503721,Christensen Quarry,45.525555,-123.805555,143
402775,Big River Rock Co,39.445833,-123.805277,3000
405742,Bridgeville Quarry,40.464167,-123.804167,143
4503304,Hawks Superior Rock Inc,46.690833,-123.803888,100
4502518,"HARBOR ROCK INC., PORTABLE",46.663333,-123.801944,15485
4500063,Naselle Quarry,46.381735,-123.785008,5461
4503637,Princess Lane,48.119167,-123.571944,143
4503570,Black Diamond Quarry,48.060278,-123.498056,63562
3502781,B & B Roads Inc,43.159722,-123.4975,1868
4502688,Mine #1,48.096666,-123.486944,601
3500524,Oakridge Sand & Gravel Incorporated,44.073611,-123.483056,15536
3503770,Carlon's Gravel Pit LLC,42.130277,-123.466944,971
3502841,Shenk Quarry,44.985277,-123.429166,18237
3503298,Portable 3,45.026111,-123.428611,7050
3500593,UMPQUA SAND & GRAVEL PIT,43.254459,-123.41836,100
3503553,Steam Beer Mine,42.638888,-123.375555,140
3500135,BEAR CREEK QUARRY,43.63989,-123.351496,60
405568,NORCAL,39.4,-123.346388,4002
3502875,MURPHY CREEK,42.348055,-123.331111,42320.8
405222,Discovery Day Mine,41.205,-123.311944,125310
3503343,Territorial Rock Pit,44.296111,-123.295277,3363
3503684,Sunshine Pit,43.252777,-123.266666,200
3500463,Fisher Island Plant ,44.556388,-123.264722,1185
3502705,ESG Corvallis Facility,44.488611,-123.26,17
3502501,West Coast Mining & Crushing Portable,45.123055,-123.205833,921
3503435,Martin Creek Quarry,43.854722,-123.205278,143
4503279,Oakville Pit,46.830277,-123.186388,179
401770,Ford Gravel,39.135833,-123.184444,220
3503439,Portable Crusher No 2,45.230555,-123.156666,240
4502282,Shelton Pit,47.209722,-123.133056,247
3501203,Bowyer Quarry,45.151944,-123.121111,3453
3503653,Portable Crushing Plant #2,44.560555,-123.119722,1071
4500616,Davis Sand & Gravel Incorporated,48.106944,-123.111667,668
3503449,Eugene Plant ,44.09745,-123.111069,824
3503617,Mid Pacific Enterprises Inc,44.541111,-123.108055,8
3500481,Delta Pit And Plant,44.096667,-123.107222,69448
3503321,MBI Portable Crusher #1,44.559166,-123.1025,5342
3503650,MBI Portable Crusher #6,44.559167,-123.1025,59
3503678,MBI Portable Crusher #7,44.559167,-123.1025,117
3503450,Northwest Rock Inc,45.0025,-123.101944,900
